Paper,Year,Bosu2016_57extra,Liebchen2010,RosliTemperoLuxton-Reilly2013,Bosu2016_LitRev,Snowballing,Quantitative,Qualitative,Data collection,Manual noise checking,Automatic noise checking,Empirical analysis of quality,Data quality meta-data,Is noise a problem?,Quality incl defects,"Cost incl productivity, schedule",Other problem domain
MandiÄ‡OivoRodrÃ_guezKuvajaKaikkonenTurhan2010.pdf,2010,,,,,x,n.a.,n.a.,,,,,,Y,,,Y
KimZhangWuGong2011.pdf,2011,x,,x,,,Y,Y,,,Y,Y,Y,Y,Y,,
GrayBowesDaveySunChristianson2011.pdf,2011,x,,,x,,Y,Y,Y,Y,Y,Y,,Y,Y,,
CatalAlanBalkan2011.pdf,2011,x,,,,,Y,,,,Y,Y,,Y,Y,,
WuZhangKimCheung2011.pdf,2011,,,x,,,Y,Y,,Y,,Y,,Y,Y,Y,
DaviesGermanGodfreyHindle2011.pdf,2011,x,,,,,,Y,,,,,,Y,,,Y
Shepperd2011.pdf,2011,,,x,,,Y,Y,,,,,,Y,Y,Y,Y
LiLeung2011.pdf,2011,,,,x,,Y,Y,,,,,,Y,Y,,
LuCukicCulp2011.pdf,2011,,,,x,,Y,Y,,,,,,Y,Y,,
MÄ±sÄ±rlÄ±BenerTurhan2011.pdf,2011,,,,x,,Y,Y,,,,,,Y,Y,,
SteffRusso2011.pdf,2011,,,,x,,Y,Y,,,,,,Y,Y,,
AzzehNeaguCowling2011.pdf,2011,,,,x,,Y,,,,,,,Y,,Y,
MinkuYao2011.pdf,2011,,,,x,,Y,,,,,,Y,Y,,Y,
OchodekNawrockiKwarciak2011.pdf,2011,,,,x,,Y,,,,,,,Y,,Y,
TsunodaMondenKakimotoMatsumoto2011.pdf,2011,,,,x,,Y,,,,,,Y,Y,,Y,
LavazzaMorasca2012.pdf,2012,x,,,x,,Y,Y,,,Y,Y,,Y,Y,Y,
GrayBowesDaveySunChristianson2012.pdf,2012,,,x,,,Y,Y,Y,Y,Y,Y,,Y,Y,,
PengWangWang2012.pdf,2012,,x,x,,,Y,,,Y,,,,Y,Y,,
CaglayanMisirliMiranskyyTurhanBener2012.pdf,2012,,,x,x,,Y,Y,,,,,,Y,Y,,
LuCukic2012.pdf,2012,,,x,x,,Y,Y,,,,,,Y,Y,,
